1,肖申克的救赎,9.7,美国,1994,142,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,中国大陆 中国香港,1993,171,https://movie.douban.com/subject/1291546/
3,阿甘正传,9.5,美国,1994,142,https://movie.douban.com/subject/1292720/
4,泰坦尼克号,9.4,美国 墨西哥 澳大利亚 加拿大,1997,194,https://movie.douban.com/subject/1292722/
5,这个杀手不太冷,9.4,法国 美国,1994,110,https://movie.douban.com/subject/1295644/
6,美丽人生,9.6,意大利,1997,116,https://movie.douban.com/subject/1292063/
7,千与千寻,9.4,日本,2001,125,https://movie.douban.com/subject/1291561/
8,辛德勒的名单,9.6,美国,1993,195,https://movie.douban.com/subject/1295124/
9,盗梦空间,9.4,美国 英国,2010,148,https://movie.douban.com/subject/3541415/
10,忠犬八公的故事,9.4,美国 英国,2009,93,https://movie.douban.com/subject/3011091/
11,星际穿越,9.4,美国 英国 加拿大,2014,169,https://movie.douban.com/subject/1889243/
12,楚门的世界,9.3,美国,1998,103,https://movie.douban.com/subject/1292064/
13,海上钢琴师,9.3,意大利,1998,165,https://movie.douban.com/subject/1292001/
14,三傻大闹宝莱坞,9.2,印度,2009,171,https://movie.douban.com/subject/3793023/
15,机器人总动员,9.3,美国,2008,98,https://movie.douban.com/subject/2131459/
16,放牛班的春天,9.3,法国 瑞士 德国,2004,97,https://movie.douban.com/subject/1291549/
17,无间道,9.3,中国香港,2002,101,https://movie.douban.com/subject/1307914/
18,疯狂动物城,9.2,美国,2016,109,https://movie.douban.com/subject/25662329/
19,大话西游之大圣娶亲,9.2,中国香港 中国大陆,1995,95,https://movie.douban.com/subject/1292213/
20,熔炉,9.3,韩国,2011,125,https://movie.douban.com/subject/5912992/
21,控方证人,9.6,美国,1957,116,https://movie.douban.com/subject/1296141/
22,教父,9.3,美国,1972,175,https://movie.douban.com/subject/1291841/
23,当幸福来敲门,9.2,美国,2006,117,https://movie.douban.com/subject/1849031/
24,触不可及,9.3,法国,2011,112,https://movie.douban.com/subject/6786002/
25,怦然心动,9.1,美国,2010,90,https://movie.douban.com/subject/3319755/
26,龙猫,9.2,日本,1988,86,https://movie.douban.com/subject/1291560/
27,末代皇帝,9.3,英国 意大利 中国大陆 法国,1987,163,https://movie.douban.com/subject/1293172/
28,寻梦环游记,9.1,美国,2017,105,https://movie.douban.com/subject/20495023/
29,蝙蝠侠：黑暗骑士,9.2,美国 英国,2008,152,https://movie.douban.com/subject/1851857/
30,活着,9.3,中国大陆 中国香港,1994,132,https://movie.douban.com/subject/1292365/
31,哈利·波特与魔法石,9.1,美国 英国,2001,152,https://movie.douban.com/subject/1295038/
32,指环王3：王者无敌,9.3,美国 新西兰,2003,201,https://movie.douban.com/subject/1291552/
33,乱世佳人,9.3,美国,1939,238,https://movie.douban.com/subject/1300267/
34,素媛,9.3,韩国,2013,122,https://movie.douban.com/subject/21937452/
35,飞屋环游记,9.1,美国,2009,96,https://movie.douban.com/subject/2129039/
36,摔跤吧！爸爸,9.0,印度,2016,161,https://movie.douban.com/subject/26387939/
37,我不是药神,9.0,中国大陆,2018,117,https://movie.douban.com/subject/26752088/
